,sentiment,okpd_2,name,number,fz,date,preproccessed_name,preproccessed_okpd_2,preproccessed_name_stem,preproccessed_okpd_2_stem
0,0,62.01.29.000: Оригиналы программного обеспечения прочие,  Предоставление неисключительного права использования антивирусного программного обеспечения Kaspersky Endpoint Security для бизнеса - Стандартный Russian Edition,№0169300040423000063,44,04.09.2023, предоставление неисключительного права использования антивирусного программного обеспечения kaspersky endpoint security для бизнеса стандартный russian edition, оригиналы программного обеспечения прочие,предоставлен неисключительн прав использован антивирусн программн обеспечен kaspersky endpoint security бизнес стандартн russian edition,оригинал программн обеспечен проч
1,0,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие, Предоставление услуг по сопровождению программного комплекса на платформе «1С»,№0162300011123000065,44,07.09.2023, предоставление услуг по сопровождению программного комплекса на платформе с, услуги консультативные в области компьютерных технологий прочие,предоставлен услуг сопровожден программн комплекс платформ,услуг консультативн област компьютерн технолог проч
2,0,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0122100010223000021,44,18.09.2023, программное средство антивирусной защиты, оригиналы программного обеспечения прочие,программн средств антивирусн защит,оригинал программн обеспечен проч
3,0,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0302300050523000034,44,21.08.2023, программное средство антивирусной защиты, оригиналы программного обеспечения прочие,программн средств антивирусн защит,оригинал программн обеспечен проч
4,0,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0316400001123000094,44,17.08.2023, программное средство антивирусной защиты, оригиналы программного обеспечения прочие,программн средств антивирусн защит,оригинал программн обеспечен проч
5,0,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0853300008723000019,44,07.08.2023, программное средство антивирусной защиты, оригиналы программного обеспечения прочие,программн средств антивирусн защит,оригинал программн обеспечен проч
6,0,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0853300008723000015,44,04.08.2023, программное средство антивирусной защиты, оригиналы программного обеспечения прочие,программн средств антивирусн защит,оригинал программн обеспечен проч
7,0,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0853300008723000014,44,04.08.2023, программное средство антивирусной защиты, оригиналы программного обеспечения прочие,программн средств антивирусн защит,оригинал программн обеспечен проч
8,0,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки", Услуги по предоставлению в аренду серверных мощностей  для размещения на них программных продуктов семейства 1С Бухгалтерия и информационно -технологическому сопровождению 1С.,№0803300221323000001,44,09.09.2023, услуги по предоставлению в аренду серверных мощностей для размещения на них программных продуктов семейства с бухгалтерия и информационно технологическому сопровождению с , услуги по технической поддержке в области информационных технологий прочие не включенные в другие группировки,услуг предоставлен аренд серверн мощност размещен программн продукт семейств бухгалтер информацион технологическ сопровожден,услуг техническ поддержк област информацион технолог проч включен друг группировк
9,0,62.02.30.000: Услуги по технической поддержке информационных технологий,"	Модернизация процессов управления автоматизированной системой диспетчерской службы скорой медицинской помощи, необходимые для создания структурированного электронного документа",№32312790631,223,24.09.2023, модернизация процессов управления автоматизированной системой диспетчерской службы скорой медицинской помощи необходимые для создания структурированного электронного документа, услуги по технической поддержке информационных технологий,модернизац процесс управлен автоматизирова систем диспетчерск служб скор медицинск помощ необходим создан структурирова электрон документ,услуг техническ поддержк информацион технолог
