,ord_id,ord_no,ord_title
0,1,834500001724000013,Услуги по передаче прав на программное обеспечение «Информационная система консолидации отчетности»
1,2,132200000124000006,Оказание услуг по предоставлению лицензий на право использования СКЗИ КриптоПро
2,3,390100006724000018,Продление ранее закупленных неисключительных прав (лицензий) на использование антивирусного ПО Kaspersky Еndpoint Security для бизнеса - стандартный пакет
3,4,311100021124000003,Услуги по передаче неисключительных прав использования программного обеспечения учебно-методического комплекса ГАПОУ «МЦК- КТИТС»
4,5,324100010424000024,Оказание услуг по предоставлению лицензий на право использования программного обеспечения
5,6,166300024724000136,Оказание услуг по предоставлению на основании простой (неисключительной) лицензии прав на установку и использование операционной системы
6,7,321500001824000030,"Оказание услуг на право использования программы для ЭВМ ""Платформа NANOCAD"""
7,8,122300006124000156,Оказание услуг по предоставлению лицензий на право использовать компьютерное программное обеспечение
8,9,175200000824000007,Оказание услуг по продлению простой (неисключительной) лицензии права на использование программ для электронно-вычислительных машин (ЭВМ) Kaspersky Endpoint Security для бизнеса – Стандартный
9,10,162300005324000349,Оказание услуг по предоставлению лицензий на право использовать компьютерное программное обеспечение
10,11,806600003624000005,Оказание услуг по передаче неисключительных прав на использование модуля защиты от от несанкционированного доступа и контроля устройств средства защиты информации Secret Net Studio 8
11,12,329200062224001381,Оказание услуг по продлению срока действия лицензии на неисключительное право использования антивирусного программного обеспечения «Касперский»
12,13,372200178324000014,Поставка методической литературы
13,14,358200055824000023,Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение
14,15,324100010424000025,Оказание услуг по предоставлению лицензий на право использования программного обеспечения
15,16,322100000824000019,"Оказание  услуг по адаптации и сопровождению экземпляров справочно-правовых систем ""Консультант Плюс"""
16,17,141200001224000001,"Поставка неисключительных прав на специализированное программное обеспечение средства криптографической защиты информации ""Континент TLS Сервер""."
17,18,372200172624000009,"Предоставление неисключительных прав использования электронной Базы данных Системы «Госфинансы» (простая неисключительная лицензия)  для нужд СПБ ГБУЗ ""Городская поликлиника № 38"""
18,19,306300054624000014,Бланочная продукция
19,20,859300019624000168,Поставка книг
20,21,134200009224000001,Оказание услуг по предоставлению лицензий на право использовать компьютерное программное обеспечение
21,22,320300021024000011,Передача неисключительных лицензионных прав на установку и использование операционной системы Альт Рабочая станция 10/бессрочная/арх.64 бит* и офисного пакета Р7-Офис профессиональный (*расширение количества к ранее приобретённым лицензиям)
22,23,190200000324002384,Оказание услуг по предоставлению (продлению) права использования сервиса (программы для ЭВМ) Caselook
23,24,340200003324002259,Поставка маркированной продукции
24,25,342200021424000004,"Оказание услуг по передаче права использования электронной базы данных на условиях простой (неисключительной) лицензии - Электронная система «Госфинансы» версия ПЛЮС для нужд ГБУЗ ""СОКГБ"" в 2024-2025 гг."
25,35,321100015124000009,Приобретение знаков почтовой оплаты (марки)
26,26,124300021024000071,"Оказание услуги по предоставлению прав на использование обновлений версий программного комплекса ""ГРАНД - Смета"", сметно-нормативных баз и их обновлений"
27,27,318300053124000112,"Оказание услуг по предоставлению программного комплекса  Rudesktop локальный сервер, модуль «Удалённое управление»"
28,28,168500000624000660,Передача неисключительных (пользовательских) прав (продление лицензии на антивирусное программное обеспечение Dr.Web) на 2024 год
29,29,173100002324000003,Приобретение лицензий на программные средства защиты информации антивирус Касперского
30,57,145300013124000018,"Поставка государственных знаков почтовой оплаты (марки, маркированные конверты)"
31,30,349300010324000006,Оказание услуг по продлению неисключительных пользовательских прав на  программное обеспечение Альфа Док
