Реестровый номер закупки,Наименование закупки,Классификация по ОКПД2,Дата размещения
№32312762450,"Разработка Программы оперативного, сезонного и специального технического обслуживания воздушного судна Ил-76ТД",62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,14.09.2023
№0187200001723001563,Оказание услуг по сопровождению компонента «Интеграционная шина системы здравоохранения Ханты-Мансийского автономного округа – Югры» государственной информационной системы «центральный узел регионального сегмента единой государственной информационной системы в сфере здравоохранения Ханты-Мансийского автономного округа – Югры»,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",19.09.2023
№0187200001723001575,Оказание услуг  по сопровождению компонента «Информационная система «Портал пациента»» центрального узла регионального сегмента единой государственной информационной системы в сфере здравоохранения Ханты-Мансийского автономного округа – Югры,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",20.09.2023
№0851200000623007196,Оказание услуг по модернизации подсистемы мониторинга и управления транспортными средствами органов государственной власти государственной информационной системы «Региональная навигационно-информационная система Новосибирской области»,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,29.09.2023
№0345200016223000029,Оказание информационных услуг в части поддержания функционирования регионального информационного ресурса «Навигатор дополнительного образования детей в Ленинградской области»,62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,27.09.2023
№0318200021623000023,Услуги по передаче неисключительных прав на использование лицензии антивирусного программного обеспечения,62.01.29.000: Оригиналы программного обеспечения прочие,29.09.2023
№0187200001723001599,Оказание услуг по сопровождению компонента «Унифицированное программное решение для обеспечения функции диспетчеризации санитарного автотранспорта» государственной информационной системы «центральный узел регионального сегмента единой государственной информационной системы в сфере здравоохранения Ханты-Мансийского автономного округа – Югры»,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",22.09.2023
№0151300030523000022,"Оказание услуг по созданию (развитию) и внедрению элементов интеллектуальной транспортной системы Новосибирской агломерации, предусматривающей автоматиза-цию процессов управления дорожным движением на территории городского округа Новосибирск, с приобретением и установкой оборудования, а также доступа к пред-установленному программному обеспечению для функционирования информационных систем (муниципальный уровень ИТС - Новосибирский городской округ)",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,30.08.2023
№32312805234,Выполнение работ по созданию Государственной информационной системы Региональная платформа «АПК «Безопасный город» Чувашской Республики на территории пилотных муниципальных образований г. Чебоксары и г. Новочебоксарск»,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки; 26.20.14.100: Серверы; 62.09.10.000: Услуги по установке компьютеров и периферийного оборудования; 26.30.30.170: Оптоэлектронные компоненты и микросборки для волоконно-оптических систем связи, в том числе лазеры узкополосные (ITLA) и широкополосные (лазеры накачки), оптические приемники, в том числе когерентные приемники (ICR), модуляторы оптического сигнала амплитудно-фазовые (QPSK), когерентные оптические микросборки (COSA), микросборки TOSA/ROSA; 26.20.21.100: Системы хранения данных; 62.09.20.120: Услуги по установке программного обеспечения; 58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 27.32.13.159: Кабели, провода и шнуры связи прочие, не включенные в другие группировки; 27.31.11.000: Кабели волоконно-оптические, состоящие из волокон с индивидуальными оболочками; 27.32.13.124: Кабели силовые гибкие общего назначения",28.09.2023
№32312766962,Выполнение работ по разработке и модификации информационных систем и приложений,62.02.30.000: Услуги по технической поддержке информационных технологий,15.09.2023
№0118300018723000817,Оказание услуг по техническому обслуживанию оборудования муниципальной системы оповещения и системы экстренного оповещения и информирования населения об угрозе возникновения или о возникновении чрезвычайной ситуации на территории муниципального образования городской округ город-курорт Сочи Краснодарского края,62.03.12.130: Услуги по сопровождению компьютерных систем,30.08.2023
№0156200009923001071,Оказание услуг по сопровождению и эксплуатации информационной системы «Единая платформа сайтов органов власти Пермского края» (ЕПС ПК),62.03.12.130: Услуги по сопровождению компьютерных систем,27.09.2023
№32312799358,"ОКПД2 62.09.20.190 Предоставление права использования, обновление полевого геодезического программного обеспечения Leica с целью сохранения в работоспособном состоянии оборудования лаборатории натурных исследований для нужд филиала ""Колымская ГЭС имени Фриштера Ю.И."" ПАО ""Колымаэнерго"", лот №0021-ЭКСП ДИТ-2024-КЭ-КГЭС","62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",27.09.2023
№0373100067123000020,Оказание услуг по комплексному сопровождению информационных систем и сервисов таможни,62.03.12.130: Услуги по сопровождению компьютерных систем,22.09.2023
№32312813231,Оказание услуг по разработке программного обеспечения в части создания корпоративного портала с использованием отечественного ПО,62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем,29.09.2023
№0187200001723001564,Оказание услуг по сопровождению компонента «Удаленное консультирование» центрального узла регионального сегмента единой государственной информационной системы в сфере здравоохранения Ханты – Мансийского автономного округа – Югры,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",19.09.2023
№0172200002523000436,Выполнение работ по развитию государственной информационной системы Санкт-Петербурга «Региональный фрагмент единой государственной информационной системы в сфере здравоохранения» в 2023-2024 годах,"62.01.1: Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения",31.08.2023
№32312795512,"Лот № 0501-ЭКСП ДИТ-2024-ДЭК ОКПД2 62.02.20.  Оказание услуг по администрированию и технической поддержке сети 15516 и 2330 в интересах филиала «Дальэнергосбыт» и аппарата управления, г. ВладивостокЛот № 0502-ЭКСП ДИТ-2024-ДЭК ОКПД2 62.02.20.  Оказание услуг по администрированию и технической поддержке сети 20266 в интересах филиала «Хабаровскэнергосбыт»Лот № 0503-ЭКСП ДИТ-2024-ДЭК ОКПД2 62.02.20. Оказание услуг по администрированию и технической поддержке сети 20273 в интересах филиала «Амурэнергосбыт» Амурская область",Сведения включены в описание каждого лота,26.09.2023
№0162200011823002514,"Сопровождение программного обеспечения системы электронного документооборота Правительства Свердловской области и системы ""Обращения граждан""",62.02.3: Услуги по технической поддержке информационных технологий,29.09.2023
№0187200001723001596,Оказание услуг по сопровождению компонента «Учет материально-технической базы здравоохранения Ханты-Мансийского автономного округа – Югры» государственной информационной системы «центральный узел регионального сегмента единой государственной информационной системы в сфере здравоохранения Ханты-Мансийского автономного округа – Югры»,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",22.09.2023
№0187200001723001572,Оказание услуг по сопровождению компонента «Единая система управления лабораторной службой» центрального узла регионального сегмента единой государственной информационной системы в сфере здравоохранения Ханты-Мансийского автономного округа – Югры,62.03.12.130: Услуги по сопровождению компьютерных систем,20.09.2023
№0356300053623000089,Поставка и оказание услуг по адаптации и сопровождение экземпляров Систем,62.03.12.130: Услуги по сопровождению компьютерных систем,21.09.2023
№0373100088123000301,"доработка программы для ЭВМ ""Паспорт здоровья авиационного персонала"" и переход на актуальное российское программное обеспечение",62.02.30.000: Услуги по технической поддержке информационных технологий,29.09.2023
№32312787864,"Право заключения договора на предоставление права на использование обновлений версий ПК «Гранд Смета» ",62.01.29.000: Оригиналы программного обеспечения прочие,22.09.2023
№0187200001723001567,Оказание услуг по сопровождению компонента «Контроль распространения инфекционных заболеваний» государственной информационной системы «центральный узел регионального сегмента единой государственной информационной системы в сфере здравоохранения Ханты-Мансийского автономного округа – Югры»,62.03.12.130: Услуги по сопровождению компьютерных систем,19.09.2023
№0187200001723001571,Оказание услуг по сопровождению компонента «Сбор и анализ информации о движении лекарственных препаратов в медицинских организациях» центрального узла регионального сегмента единой государственной информационной системы в сфере здравоохранения Ханты-Мансийского автономного округа – Югры,62.03.12.130: Услуги по сопровождению компьютерных систем,20.09.2023
№0318200029923000011,Оказание услуг по предоставлению программных средств  антивирусной защиты,62.01.29.000: Оригиналы программного обеспечения прочие,28.09.2023
№0156200009923001046,Оказание услуг по сопровождению и эксплуатации автоматизированной информационной системы «Система электронного документооборота Пермского края»,62.03.12.130: Услуги по сопровождению компьютерных систем,22.09.2023
№0187200001723001585,Оказание услуг по сопровождению компонента «Центральный архив медицинских изображений» государственной информационной системы «центральный узел регионального сегмента единой государственной информационной системы в сфере здравоохранения Ханты-Мансийского автономного округа – Югры»,"62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки",21.09.2023
№0187200001723001713,Оказание услуг по интеграции государственной информационной системы «Цифровая образовательная платформа Ханты-Мансийского автономного округа – Югры (ГИС Образование Югры)» с федеральными и региональными информационными системами и сервисами,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",29.09.2023
№0173200001423001485,"Выполнение работ по развитию и модернизации информационной системы «Автоматизированная информационная система управления бюджетным процессом, первая очередь Департамент финансов города Москвы. Модернизированная.»",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,27.09.2023
№0127100001623000096,"Оказание услуг по информационно-консультационному обслуживанию системы программ «1С: Предприятие 8» (1С: КП ГУ), установленной на компьютерном оборудовании заказчика.",62.03.12.110: Услуги по управлению компьютерными системами непосредственно,28.09.2023
№0809500000323003372,оказание услуг по созданию (разработке) нового официального сайта Государственного Собрания Республики Мордовия,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,22.09.2023
№0173200001723000099,Выполнение работ по развитию и обеспечению бесперебойного функционирования  системы управления информацией Московской городской Думы,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения; 62.02.30.000: Услуги по технической поддержке информационных технологий,28.09.2023
№0301500001123000054,Выполнение работ по обеспечению функционирования и развитию государственной информационной системы обеспечения градостроительной деятельности Республики Башкортостан в части разработки портала общественных обсуждения,62.03.12.130: Услуги по сопровождению компьютерных систем,28.09.2023
№0187200001723001716,Оказание услуг по техническому сопровождению подсистемы «Управление общеобразовательными организациями Ханты-Мансийского автономного округа – Югры»,62.03.12.130: Услуги по сопровождению компьютерных систем,29.09.2023
№0187200001723001665,"Выполнение работ по развитию государственной автоматизированной информационной системы учета граждан, нуждающихся в получении государственной поддержки в жилищной сфере Ханты-Мансийского автономного округа – Югры",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,27.09.2023
№0343100005223000082,Оказание услуг по адаптации и установке адаптированных профессиональных справочных систем для кафедры БЖД ПТ института КГУ,62.03.12.130: Услуги по сопровождению компьютерных систем,29.09.2023
№32312726700,Право заключения договоров на предоставление права использования на условиях простой (неисключительной) лицензии программного обеспечения системы резервного копирования и доступа к технической поддержке (КиберБэкап 2),58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.01.29: Оригиналы программного обеспечения прочие; 62.01.29.000: Оригиналы программного обеспечения прочие; 62.02.30: Услуги по технической поддержке информационных технологий; 62.02.30.000: Услуги по технической поддержке информационных технологий,31.08.2023
№0173100009623000139,Оказание услуг по технической поддержке подсистемы сайтов комитетов интернет-ресурса Государственной Думы Федерального Собрания Российской Федерации (официального сайта),62.02.30.000: Услуги по технической поддержке информационных технологий,29.09.2023
№0845200000323000029,Выполнение работ по развитию информационной системы Ленинградской области «Портал государственных и муниципальных услуг (функций) Ленинградской области» в части создания сервиса поддержки участников специальной военной операции и членов их семей,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,21.09.2023
№0366200035623006114,Оказание услуг по развитию (модернизации) функциональной системы специального программного обеспечения Региональной навигационно-информационной системы Тульской области,"62.01.1: Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения",25.09.2023
№0173200001423001468,"Оказание услуг по технической поддержке и сопровождению подсистемы, обеспечивающей функции записи и самозаписи на прием к врачу автоматизированной информационной системы города Москвы «Единая медицинская информационно-аналитическая система города Москвы»",62.02.30.000: Услуги по технической поддержке информационных технологий,25.09.2023
№0372100003423000970,Оказание услуг по предоставлению права использования программы для ЭВМ на условиях простой (неисключительной) лицензии (Клиника ВМТ),"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки",29.09.2023
№0373200640923000067,"Оказание комплексных услуг по технической поддержке и адаптационному сопровождению Комплексной информационной системы «Государственные услуги в сфере образования в электронном виде» в части Сервиса «Веб.Олимпиады.Организатор», Сервиса «Веб.Олимпиады.Учащийся», Сервиса «МЭШ.Олимпиады»   ",62.02.30.000: Услуги по технической поддержке информационных технологий,25.09.2023
№0873500000623000026,Оказание услуг по технической поддержке и сопровождению сервиса «Оцифровка медицинских документов» автоматизированной информационной системы города Москвы «Единая медицинская информационно-аналитическая система города Москвы»,62.02.30.000: Услуги по технической поддержке информационных технологий,25.09.2023
№0190200000323011311,Поставка системы распознания автомобильных номеров,62.01.29.000: Оригиналы программного обеспечения прочие,29.09.2023
№0372200047723000735,Передача неисключительных прав (простые неисключительные лицензии) на КриптоПро NGate для обеспечения медицинской деятельности СПБ ГБУЗ «Городская больница № 40» в 2023 году,62.01.29.000: Оригиналы программного обеспечения прочие,29.09.2023
№0301100049423000036,"Оказание услуг по доработке, внедрению и интеграции программных продуктов в существующую информационную систему",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,29.09.2023
№0173100009623000137,Оказание услуг по технической поддержке интернет-ресурса Государственной Думы Федерального Собрания Российской Федерации (официального сайта),62.02.30.000: Услуги по технической поддержке информационных технологий,29.09.2023
№0167200003423007108,Оказание услуг по предоставлению прав на программное обеспечение офисного пакета на условиях простой (неисключительной) лицензии,62.01.29.000: Оригиналы программного обеспечения прочие,29.09.2023
№0173200001423001510,"Выполнение работ по развитию государственной информационной системы: Автоматизированная информационная система «Душевная Москва», а также информационных систем, задействованных в контрольно-надзорной деятельности, в части модернизации системы защиты информации (2-я очередь)",62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,29.09.2023
№0167200003423007087,"Оказание услуг по модернизации программно-аппаратного комплекса Информационной системы ""Единый центр хранения и обработки данных систем видеонаблюдения Тюменской области""",62.09.10.000: Услуги по установке компьютеров и периферийного оборудования,29.09.2023
№0848300048423000913,"Поставка средств антивирусной защиты информации для нужд МБУ Ленинского городского округа ""МФЦ""",62.01.29.000: Оригиналы программного обеспечения прочие,28.09.2023
№0830500000223003020,"Выполнение работ по комплексному обслуживанию государственной информационной системы «Закупки Вологодской области» ",62.03.12.130: Услуги по сопровождению компьютерных систем,13.09.2023
№0348300274623000398,"Оказание информационных услуг по предоставлению доступа к экземплярам информационно-справочной системы «Кодекс», который обеспечивает совместимость услуг с ранее внедренной системой «Кодекс»",62.02.3: Услуги по технической поддержке информационных технологий,28.09.2023
№0173200001423001464,"Оказание услуг по технической поддержке и сопровождению подсистемы, предназначенной для управления посещениями на дому, вызова врача на дом автоматизированной информационной системы города Москвы «Единая медицинская информационно-аналитическая система города Москвы»",62.02.30.000: Услуги по технической поддержке информационных технологий,22.09.2023
№0173200001423001465,Выполнение работ по развитию государственной информационной системы: комплексная информационная система «Мобильные сервисы Правительства Москвы» в части АИС «Мобильное приложение «Наш город» и поддержание ее работоспособности в 2023-2025 годах,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения; 62.02.30.000: Услуги по технической поддержке информационных технологий,22.09.2023
№0173200001423001453,Выполнение работ по развитию государственной информационной системы: информационная система «Управление жизненным циклом разработки ПО» в части развития подсистемы управления проектами и задачами и подсистемы управления требованиями и документацией,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,21.09.2023
