Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0150200000617000189;Запрос котировок;Оказание услуг по подписке ИТС ПРОФ БЮДЖЕТ;;'172532103798953210100100390436202244';;;35712.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"ГОСУДАРСТВЕННОЕ ОБЛАСТНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ЗАЩИТЫ НАСЕЛЕНИЯ ОТ ЧРЕЗВЫЧАЙНЫХ СИТУАЦИЙ И ПО ОБЕСПЕЧЕНИЮ ПОЖАРНОЙ БЕЗОПАСНОСТИ НОВГОРОДСКОЙ ОБЛАСТИ""";ДЕПАРТАМЕНТ ИМУЩЕСТВЕННЫХ ОТНОШЕНИЙ И ГОСУДАРСТВЕННЫХ ЗАКУПОК НОВГОРОДСКОЙ ОБЛАСТИ;11.04.2017;21.04.2017;Работа комиссии;;12.04.2017;21.04.2017;
223-ФЗ;№31705022562;Прочие;Право заключения договора на Обследование процессов разработки и сопровождения программного обеспечения, (270Пр-ЗП-017);;;1;Право заключения договора на Обследование процессов разработки и сопровождения программного обеспечения;1500000.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"АКЦИОНЕРНОЕ ОБЩЕСТВО ИНЖИНИРИНГОВАЯ КОМПАНИЯ ""АСЭ""";;17.04.2017;17.04.2017;Работа комиссии;;17.04.2017;28.04.2017;
223-ФЗ;№31705017662;Прочие;Сопровождение СФО [Лицензии Neoflex Reporting];;;1;Сопровождение СФО [Лицензии Neoflex Reporting];5849120.76;RUB;;;;;62.02.30: Услуги по технической поддержке информационных технологий;62.02.30: Услуги по технической поддержке информационных технологий;"""СЕТЕЛЕМ БАНК"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ";;14.04.2017;14.04.2017;Работа комиссии;;14.04.2017;17.04.2017;
223-ФЗ;№31705004968;Закупка у единственного поставщика (подрядчика, исполнителя);ДС к договору № 5/1400-Д/79/12/708 (оказание услуг по технической поддержке ПО SAP);;;1;ДС к договору № 5/1400-Д/79/12/708 (оказание услуг по технической поддержке ПО SAP);12961081.25;RUB;;;;;62.02.30: Услуги по технической поддержке информационных технологий;62.02.30: Услуги по технической поддержке информационных технологий;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ И ПРОЕКТНО-КОНСТРУКТОРСКИЙ ИНСТИТУТ ЭНЕРГЕТИЧЕСКИХ ТЕХНОЛОГИЙ ""АТОМПРОЕКТ""";;12.04.2017;12.04.2017;Работа комиссии;;12.04.2017;;
44-ФЗ;№0848300037417000125;Запрос котировок;оказание услуг по организационно-техническому сопровождению автоматизированной информационной системы финансовых расчетов «Бюджет муниципального образования» (АИС «ФИНАНСЫ – БЮДЖЕТ МО») предназначенной для автоматизации взаимодействия финансовых органов субъектов Российской Федерации и муниципальных образований, автоматизированной информационной системы обработки данных из Федеральной налоговой службы (АИС «Обработка данных ФНС») и автоматизированной информационной системы «Доход» (АИС «Доход»).;;'173500705107450070100111370126202244';;;270000.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;АДМИНИСТРАЦИЯ ГОРОДСКОГО ПОСЕЛЕНИЯ ДЕДЕНЕВО ДМИТРОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА МОСКОВСКОЙ ОБЛАСТИ;"МУНИЦИПАЛЬНОЕ КАЗЁННОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР ПРОВЕДЕНИЯ ТОРГОВ"" МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ДМИТРОВСКИЙ МУНИЦИПАЛЬНЫЙ РАЙОН МОСКОВСКОЙ ОБЛАСТИ";29.03.2017;10.04.2017;Работа комиссии;;29.03.2017;10.04.2017;
44-ФЗ;№0160300005217000058;Запрос котировок;"Приобретение услуг по технической поддержке АС ""УИГМИ-Росреестр""";;'173642101112964210100101140016203242';;;7783.33;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;АДМИНИСТРАЦИЯ НОВОБУРАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;АДМИНИСТРАЦИЯ НОВОБУРАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА САРАТОВСКОЙ ОБЛАСТИ;03.04.2017;07.04.2017;Работа комиссии;;01.04.2017;07.04.2017;
223-ФЗ;№31704978884;Прочие;"1700-2017-00081 Оказание информационных услуг с использованием экземпляров                     системы ""КонсультантПлюс"" ";;;1;"1700-2017-00081 Оказание информационных услуг с использование                                 экземпляров системы ""КонсультантПлюс"" 2017-2018";3243064.80;RUB;;;;;62.02.20: Услуги консультативные по вопросам систем и программному обеспечению;62.02.20: Услуги консультативные по вопросам систем и программному обеспечению;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОБЪЕДИНЕННАЯ ДВИГАТЕЛЕСТРОИТЕЛЬНАЯ КОРПОРАЦИЯ""";;05.04.2017;06.04.2017;Работа комиссии;;05.04.2017;11.04.2017;
223-ФЗ;№31704983966;Закупка у единственного поставщика (подрядчика, исполнителя); наоказание услуг по сопровождению Электронного периодического справочника«Система ГАРАНТ» ;;;1; услуги по сопровождению Электронного периодического справочника«Система ГАРАНТ»  ;67321.98;RUB;;;;;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ  ИРКУТСКОЕ ОБЛАСТНОЕ БЮРО СУДЕБНО-МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ;;06.04.2017;06.04.2017;Работа комиссии;;06.04.2017;;
44-ФЗ;№0321300013217000026;Запрос котировок;Оказание услуг по предоставлению (передаче) неисключительных (пользовательских) прав на использование антивирусного программного обеспечения  Kaspersky Endpoint Security для бизнеса – Стандартный Russian Edition. 15-19 Node 1 year Educational License имеющегося у заказчика, на условиях простой (неисключительной) лицензии ;;'172262803284026280100100740016201244';;;8983.82;RUB;;;;;62.01.29.000: Оригиналы программного обеспечения прочие;62.01.29.000: Оригиналы программного обеспечения прочие;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""КИСЛОВОДСКАЯ ГОРОДСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ СТАВРОПОЛЬСКОГО КРАЯ ""КИСЛОВОДСКАЯ ГОРОДСКАЯ СТАНЦИЯ СКОРОЙ МЕДИЦИНСКОЙ ПОМОЩИ""";29.03.2017;04.04.2017;Работа комиссии;;29.03.2017;04.04.2017;
223-ФЗ;№31502113292;Прочие;[26437] Выбор организаций на право проведения тренингов/семинаров для специалистов Центрального аппарата, Подразделений центрального подчинения и Территориальных банков  для нужд ПАО Сбербанк с целью развития бизнес-навыков;;;1;Цель Отбора – определение перечня квалифицированных поставщиков для проведения тренингов/семинаров для специалистов Центрального аппарата, Подразделений центрального подчинения и Территориальных банков с целью развития бизнес-навыков и включения сведений об отобранных организациях в реестр аккредитованных поставщиков Банка.;0.00;RUB;;;;;62.09: Услуги в области информационных технологий прочие и компьютерные услуги;62.09: Услуги в области информационных технологий прочие и компьютерные услуги;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""";;11.03.2015;04.04.2017;Работа комиссии;;11.03.2015;02.04.2015;
223-ФЗ;№31704931127;Прочие;Право заключения договора на Передачу неисключительных прав на использование обновленной версии компьютерной программы «МАСТЕР ПРОЕКТОВ: АтомЭнерго-Инвест» (188Пр/ЗЦ-017);;;1;Право заключения договора на Передачу неисключительных прав на использование обновленной версии компьютерной программы «МАСТЕР ПРОЕКТОВ: АтомЭнерго-Инвест» (188Пр/ЗЦ-017);390000.00;RUB;;;;;62.02.20: Услуги консультативные по вопросам систем и программному обеспечению;62.02.20: Услуги консультативные по вопросам систем и программному обеспечению;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ И ПРОЕКТНО-КОНСТРУКТОРСКИЙ ИНСТИТУТ ЭНЕРГЕТИЧЕСКИХ ТЕХНОЛОГИЙ ""АТОМПРОЕКТ""";;24.03.2017;30.03.2017;Работа комиссии;;24.03.2017;06.04.2017;
223-ФЗ;№31704954097;Прочие;Запрос котировок в электронной форме №500.1921/ЗКТЭ-ФПК/17 на право заключения договора оказания услуг по криптошифрованию для нужд Уральского филиала АО «ФПК»;;;1;Оказание услуг по криптошифрованию для нужд Уральского филиала АО «ФПК»;72216.00;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ФЕДЕРАЛЬНАЯ ПАССАЖИРСКАЯ КОМПАНИЯ""";;30.03.2017;30.03.2017;Работа комиссии;;30.03.2017;17.04.2017;
223-ФЗ;№31704938411;Закупка у единственного поставщика (подрядчика, исполнителя);Сублицензионный договор. Право использования программ для ЭВМ;;;1;Сублицензионный договор. Право использования программ для ЭВМ;78000.00;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;Федеральное государственное бюджетное учреждение науки Институт теории прогноза землетрясений и математической геофизики Российской академии наук;;27.03.2017;27.03.2017;Работа комиссии;;27.03.2017;;
