,id,name,url
24,372200257524000001,Оказание услуг по одноразовому обслуживанию сайтов wwwkvd4ru wwwskvd4ru для нужд СанктПетербургского государственного бюджетного учреждения здравоохранения Кожновенерологический диспансер 4 в 2024 году,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0372200257524000001
87,32413219477,Оказание услуг по техническому и информационному сопровождению информационного представительства в сети INTERNET WEBсайт,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16300148
124,130200001724000002,Оказание услуг по освещению деятельности Законодательного Собрания Вологодской области на сайте сетевого издания в информационнотелекоммуникационной сети Интернет,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0130200001724000002
174,148300021224000002,Информирование населения об основных событиях социальноэкономического развития общественнополитической жизни освещение деятельности органов местного самоуправления городского округа Люберцы Московской области в периодическом печатном издании СМИ газета с дублированием материалов на официальном сайте редакции,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0148300021224000002
216,32413216810,Оказание услуг по техническому сопровождению и выполнению доработок корпоративных сайтов УрГЭУ,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16296145
243,129300016724000007,Оказание услуг по подготовке и размещению информационных материалов о деятельности администрации городского округа  город Волжский Волгоградской области на сайте,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0129300016724000007
286,164200001924000006,Оказание услуг по подготовке и размещению информационных сообщений о деятельности Тамбовской областной Думы на сайте федерального информационного агентства,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0164200001924000006
306,32413216191,Оказание услуг по разработке технических заданий для сайтов личного кабинета и мобильного приложения физических лиц,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16295753
318,164200001924000005,Оказание услуг по подготовке и размещению информационных сообщений о деятельности Тамбовской областной Думы на сайте федерального информационного агентства,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0164200001924000005
360,32413215338,Услуги по поисковой оптимизации сайта,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16294647
384,133200004824000001,Оказание услуг по техническому администрированию единой платформы официальных сайтов исполнительных органов государственной власти Ивановской области Уполномоченного по правам человека в Ивановской области Уполномоченного по правам ребенка в Ивановской области Уполномоченного по защите прав предпринимателей в Ивановской области,https://zakupki.gov.ru//epz/order/notice/zk20/view/common-info.html?regNumber=0133200004824000001
406,321200023524000007,Оказание услуг по производству и размещению информационных материалов о деятельности комитетов Думы Ставропольского края по социальной политике и здравоохранению по законодательству государственному строительству и местному самоуправлению о деятельности председателя Думы Ставропольского края на сайте сетевого издания в информационнотелекоммуникационной сети Интернет,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0321200023524000007
408,321200023524000006,Оказание услуг по производству и размещению информационных материалов о деятельности комитетов Думы Ставропольского края по экономическому развитию и собственности по образованию культуре науке молодежной политике средствам массовой информации и физической культуре о деятельности председателя Думы Ставропольского края на сайте сетевого издания в информационнотелекоммуникационной сети Интернет,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0321200023524000006
411,321200023524000004,Оказание услуг по производству и размещению информационных материалов о деятельности комитетов Думы Ставропольского края по бюджету налогам и финансовокредитной политике по аграрным и земельным вопросам природопользованию и экологии по промышленности энергетике строительству и жилищнокоммунальному хозяйству о деятельности председателя Думы Ставропольского края на сайте сетевого издания в информационнотелекоммуникационной сети Интернет,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0321200023524000004
422,32413214465,Услуги по технической поддержки интернетсайта ,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16293324
480,157300002024000001,Оказание услуг по подготовке и размещению информационных сообщений и материалов на сайте,https://zakupki.gov.ru//epz/order/notice/ok20/view/common-info.html?regNumber=0157300002024000001
492,32413213245,Оказание услуги по развитию техническому обслуживанию и сопровождению работы сайта заказчика и его поддоменов в информационно  телекоммуникационной сети Интернет для нужд Пятигорского медикофармацевтического институтафилиала ФГБОУ ВО ВолгГМУ Минздрава России,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16291960
599,122200002524000145,Передача права использования технической поддержки технологической платформы единого комплекса официальных порталов и сайтов Правительства Хабаровского края,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0122200002524000145
606,32413209962,210857КОказание услуг по сопровождению официального сайта и развитию онлайнсервисов ООО БашРТС,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16287715
671,318300028424000003,Оказание услуг по технической поддержке официального сайта муниципального образования Динской район wwwdinskoiraionru,https://zakupki.gov.ru//epz/order/notice/zk20/view/common-info.html?regNumber=0318300028424000003
750,122200002524000030,Передача права использования технической поддержки технологической платформы единого комплекса официальных порталов и сайтов Правительства Хабаровского края,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0122200002524000030
757,32413207782,Сопровождение существующего и разработка нового программного кода webсайтов Заказчика с использованием языков программирования,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16285000
786,848300062223002418,Оказание услуг по технической поддержке размещению информационных материалов и предоставлению хостинга для официального сайта Комитета по финансам и налоговой политике Администрации Городского округа Подольск в 2024 году,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0848300062223002418
792,32413206570,Техническая поддержка сайта,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16283353
810,356500001423006777,Оказание услуг по информационной и технической поддержке вебсайтов информационных ресурсов продление регистрация домена,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0356500001423006777
853,32413205257,Обслуживание сайта МАУ Сургутская филармония,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16281718
855,32413205246,Оказание услуг по производству и размещению информационноаналитических материалов о социальноэкономическом общественнополитическом развитии ХантыМансийского автономного округа  Югры на сайте сетевого издания зарегистрированного в установленном законодательством РФ порядке в качестве средства массовой информации,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16281720
856,32413205241,Оказание услуг по подготовке и размещению информационноаналитических материалов о социальноэкономическом и общественнополитическом развитии ХантыМансийского автономного округа  Югры на сайте сетевого издания зарегистрированного в установленном законодательством РФ порядке в качестве средства массовой информации специализирующегося на общественнополитической и социальноэкономической информации,https://zakupki.gov.ru//epz/order/notice/notice223/common-info.html?noticeInfoId=16281653
873,139200000124000115,Оказание услуг по подготовке и публикации информационных материалов о деятельности Законодательного Собрания Кемеровской области  Кузбасса в информационнотелекоммуникационной сети Интернет на сайте информационного агентства,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0139200000124000115
904,330300051224000001,Оказание услуг по освещению вопросов местного значения деятельности Вологодской городской Думы Главы города Вологды на сайте информационного агентства,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0330300051224000001
919,330300051224000003,Оказание услуг по освещению вопросов местного значения деятельности Вологодской городской Думы Главы города Вологды  на сайте информационного агентства,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0330300051224000003
922,330300051224000005,Оказание услуг по освещению вопросов местного значения деятельности Вологодской городской Думы Главы города Вологды на Интернетсайте сетевого издания,https://zakupki.gov.ru//epz/order/notice/ea20/view/common-info.html?regNumber=0330300051224000005
