,word,number_of_word
0,,4590
6783,и,4554
1290,о,4549
3234,а,4537
5678,с,4531
1420,р,4527
6734,в,4433
2342,к,4401
2499,у,4382
4731,г,4368
847,м,4337
4804,д,4306
4552,по,4102
1415,слуг,3921
3436,ов,3764
5259,за,3587
6568,услуг,3482
4414,О,3350
1905,во,3110
320,Оказание,3014
2126,со,2848
4236,С,2531
1751,тем,2503
2732,об,2263
1922,сопровождению,2197
4417,на,2162
3935,форм,1813
4738,программ,1766
6334,ля,1732
5817,К,1720
5495,систем,1616
1713,ул,1314
197,У,1299
7036,не,1286
467,ред,1200
7138,программного,1196
4317,системы,1168
1849,прав,1165
1152,информационно,1091
5021,до,1090
2280,Г,961
5739,Консультант,961
3539,ак,954
4665,от,933
5954,Систем,933
6061,Плюс,914
3975,для,897
4022,под,882
5261,из,873
2725,экземпляр,867
393,обеспечения,857
3181,Б,850
5087,пол,849
786,адаптации,836
841,И,834
3100,экземпляров,827
5820,2,825
6880,КонсультантПлюс,734
6021,цен,726
102,им,720
248,4,687
6496,20,662
6531,1,662
2546,Т,649
2852,пер,641
2512,право,629
572,лиц,620
1266,продукт,603
5647,же,568
571,2024,568
6631,том,551
4577,информационной,544
4099,В,538
4397,суд,531
307,Услуг,530
1194,па,524
5372,нужд,521
870,его,521
1948,год,509
3876,суда,507
4717,мес,501
3108,Н,485
784,Услуги,476
2917,мест,462
6581,специального,437
1614,основе,430
3248,лицензионного,427
929,ее,422
2220,экземпляра,413
5273,8,412
3703,информационных,412
1052,области,412
4876,предоставлению,399
1596,совместимость,395
5315,1С,393
6560,экземплярам,392
2041,экземплярами,387
1597,обеспечивающего,387
4498,технической,387
5192,установленным,384
3158,установленными,383
189,их,378
92,продукта,372
4131,обслуживанию,366
711,втом,363
3359,комплекс,362
4152,при,347
1820,поддержке,335
6079,услуги,329
6703,году,313
4438,работ,309
2983,техническом,293
5783,техническому,292
2946,ранее,284
3139,справочно,276
1582,Система,273
4118,СП,271
3380,ИС,269
6959,период,268
2095,программных,267
2450,ГБ,264
2594,Заказчик,263
4134,средств,262
7032,ключи,259
7157,оказание,254
588,БУ,249
3974,данных,245
175,деятельности,242
3509,Заказчика,240
3173,Бюджет,226
3214,баз,226
1938,продуктов,225
550,РА,224
5177,3,223
6050,информации,216
5263,ГБУ,215
5371,комплекса,214
4054,учреждения,206
5101,заказ,205
3715,город,205
5773,Системы,202
880,правовой,202
4977,управ,202
223,справочник,200
1075,орган,200
2325,охране,197
3335,хранения,196
641,пользование,195
4192,сервисного,192
3225,периодического,192
3064,РАН,191
691,справочника,191
2121,использование,189
4796,действие,189
3878,взаимодействие,186
5879,заказчика,185
344,здравоохранения,180
3104,материалов,179
2592,электронного,179
4246,бюджет,178
5813,сертификата,178
2291,район,177
1341,БУЗ,172
6479,ГАРАНТ,171
1512,размещению,171
138,государственной,169
4037,пользования,167
2308,Эл,167
3959,управления,166
1449,поддержку,164
1538,теле,164
2053,доступ,163
3785,сфере,161
226,техническую,161
688,информационном,158
2338,сети,156
3025,5,155
4593,ГБУЗ,154
4622,числе,154
5199,информационному,149
1268,неисключительных,147
1269,мини,147
2363,система,146
6328,использования,145
4542,сопровождение,145
6696,доступа,145
4149,справочноправовой,143
5146,государственного,143
87,автоматизированной,140
7087,Предприятие,140
5080,ПАРУС,138
5664,Росси,137
6476,Республики,136
2350,права,136
4732,По,135
648,поддержки,135
2827,ЭВМ,132
2980,ПАРУСБюджет,131
4880,МИ,130
3044,рег,129
6650,специальной,127
5356,района,123
4698,Про,121
2444,округ,121
1630,обновлению,120
5591,6,120
2075,мер,119
5271,или,119
5008,программы,118
3294,ПО,117
3779,СО,115
6620,учет,114
1442,оказываемые,111
2052,Электронного,111
626,центр,110
6482,медицинской,110
955,муниципального,109
5613,печатном,107
670,бюджетного,105
3905,сайт,104
6763,Бухгалтер,104
6858,округа,102
5040,копией,101
6422,АС,100
5065,7,100
4084,23,100
4998,массовой,99
5234,Бухгалтерия,98
1764,Интер,96
1067,Российской,96
5171,обеспечению,95
6215,Об,95
3742,Федерации,94
4628,дел,94
1897,установленных,94
487,учета,94
2814,использованием,94
2768,Интернет,93
3411,плата,92
2355,социально,92
6748,информационного,91
3016,документооборот,89
3418,оборота,89
1051,адм,88
1819,РО,88
18,Зарплата,87
4351,документооборота,87
1362,справочной,86
4013,органов,86
4573,9,86
4817,технологическому,85
7117,подготовке,85
885,АО,84
2397,селе,84
2364,установленного,84
384,12,84
6363,Предоставление,83
3261,территории,82
1882,номер,81
6651,Гарант,80
7098,регион,80
4458,Реестр,79
2689,техники,78
3377,мониторинг,78
1521,города,78
5628,обслуживание,78
3553,лицензии,77
4749,края,77
2854,базы,77
4188,Законодательного,75
2483,Выполнение,73
6956,Собрания,73
3701,предоставления,72
749,V,72
5526,автоматизации,72
3609,передаче,71
5252,защиты,71
5304,центра,71
4838,вид,70
6689,договор,70
1978,иной,70
5434,информационнотехнологическому,70
6817,Реестровый,70
1770,СПС,69
5705,СК,69
3585,c,69
5084,обществе,68
6419,Поставка,68
4624,Информационно,68
6372,Санкт,68
2566,электронной,68
6339,Сопровождение,68
1182,кадры,68
802,так,67
178,здании,67
3371,дом,67
2190,СМИ,67
4461,СанктПетербург,67
3004,состоянии,66
5472,Государственной,66
5063,персоналом,66
2596,Башкортостан,66
5914,издании,66
558,вычислительной,65
4185,РБ,65
4713,тч,65
644,технологий,65
6983,Парус,64
2071,На,64
4776,комплект,64
6326,Центр,63
6901,ГУ,63
2436,Net,63
2508,текущем,63
4652,модификации,63
6043,договора,62
5144,организации,62
6407,10,62
1077,подсистем,62
681,информационная,62
4436,КО,61
2873,общественно,61
2545,средства,61
7165,законодательства,61
1111,филиал,60
1487,базе,60
748,Комплекс,60
2785,эксплуатацию,60
6028,Я,60
1028,городского,59
1262,бухгалтер,59
790,информацию,59
5340,НИ,59
3506,эксплуатации,58
5443,эффективную,58
3125,обеспечение,58
3062,КП,58
1465,виде,58
4587,оказываемых,58
76,образования,57
6003,администрации,57
649,ИТ,57
1324,КУ,57
3542,Автоматизированная,56
6278,власти,56
5763,заключения,56
6821,аналитических,56
4181,продлению,55
143,кв,55
2886,периодическом,55
1115,22,55
4911,без,55
6541,государственных,55
2529,ОК,54
1816,порта,54
1002,освещению,54
2354,оборудования,54
3195,ПК,54
1045,мониторинга,54
3744,правовых,53
6165,Вологодской,53
4005,путем,53
5406,развитию,53
6746,ГИС,53
4524,СПб,53
2715,ВО,52
144,теме,52
4858,ключа,52
1205,сайта,52
1123,также,52
3787,Право,52
2051,I,52
5612,комплексной,51
2268,Услуга,51
5860,коммуникационной,51
2031,издания,51
6226,предоставление,51
2646,ОУ,51
793,консультационно,51
30,филиала,51
366,сопровождения,51
3657,поликлиника,50
284,больница,50
3275,сервиса,50
2797,ЭПС,50
1861,ИМ,49
5909,Петербурга,49
1758,Город,49
107,средстве,49
3432,Самарской,49
3067,комплексному,49
1138,информационноаналитических,48
672,АИС,48
1850,распространяемом,48
478,СанктПетербурга,48
3433,1СПредприятие,48
6832,населения,48
5728,Управление,48
4939,ИКТ,48
6258,развитии,48
2208,социальноэкономическом,47
5280,МУ,47
4404,телекоммуникационной,47
3477,функционирования,47
1211,11,47
4062,Техэксперт,47
2664,СЗ,47
2105,года,46
708,сервисному,46
2771,ViPNet,46
4223,ПарусБюджет,46
3428,УП,46
3590,антивирус,46
778,Администрации,45
7023,политическом,45
5951,финансов,45
4803,обработки,45
3549,версий,45
1139,системе,45
4863,неисключительной,44
6786,МА,44
3507,25,44
5009,общественнополитическом,44
1997,текущих,44
2005,консультационных,43
5532,агентств,43
4358,2023,43
1256,служб,43
6685,Закупка,43
5341,безопасности,43
3870,40,43
3726,простой,43
2860,Государственного,43
3319,сервер,42
4036,МИС,42
5409,сертификатов,42
772,форме,42
417,D,42
431,подсистемы,42
4584,региональной,42
2430,Справочно,41
3907,исключительного,41
7049,сайте,41
3792,30,41
2261,КС,41
1837,установленной,40
1955,неисключительного,40
6925,плюс,40
2793,России,40
2079,включая,40
4946,ФО,40
7118,000,40
4422,иного,40
3061,процесс,40
318,ведения,40
4311,сетевого,39
2106,программное,39
2911,средство,39
2070,части,39
6502,Ариадна,39
861,Медицинская,38
64,ОО,38
3527,связи,38
6116,НА,38
4493,лицензия,38
3777,СС,37
1678,аппаратно,37
516,лабораторной,37
6912,исполнительной,37
5919,регистр,36
4074,муниципальных,36
1041,городской,36
3596,средством,36
3013,работы,36
4352,Думы,36
6396,портал,36
6823,Городская,35
2736,РТ,35
2513,обновлений,35
6175,системно,35
2036,далее,35
1030,версии,35
5107,объектов,35
7159,400,35
1162,модернизации,34
6494,МЕД,34
5048,модулей,34
4631,ПП,34
756,электронных,34
6589,используемой,34
1528,интернет,34
249,производству,34
6017,структуры,34
6706,ОС,33
6395,бухгалтерского,33
1556,Единой,33
506,адаптация,33
