Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
223-ФЗ;№32211117742;Аукцион в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;0001-208-К-Y05-04060-2022 «Поставка сертификатов на техническую поддержку продукции F5 Networks»;;;1;0001-208-К-Y05-04060-2022 «Поставка сертификатов на техническую поддержку продукции F5 Networks»;2034870.70;RUB;;;;;;;;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ""";09.02.2022;09.02.2022;Работа комиссии;;09.02.2022;17.02.2022;
223-ФЗ;№32211116085;Запрос предложений в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;1739-2022-00009 Поставка неисключительных прав на использование ПО, продукции, а также выполнение работ по аттестации 64 АРМ, подключаемых к АС ФЗД ГК «Ростех»;;;1;1739-2022-00009 Поставка неисключительных прав на использование ПО, продукции, а также выполнение работ по аттестации 64 АРМ, подключаемых к АС ФЗД ГК «Ростех»;2509461.88;RUB;;;;;62.09: Услуги в области информационных технологий прочие и компьютерные услуги;62.09: Услуги в области информационных технологий прочие и компьютерные услуги;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОДК ИНЖИНИРИНГ""";;09.02.2022;09.02.2022;Работа комиссии;;09.02.2022;21.02.2022;
223-ФЗ;№32211113459;Прочие;ЗП-8100070003 - (Технологические услуги);;;1;ТЕХНОЛОГИЧЕСКИЕ УСЛУГИ.;2915365680.00;RUB;;;;;62.09: Услуги в области информационных технологий прочие и компьютерные услуги;62.09: Услуги в области информационных технологий прочие и компьютерные услуги;"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""";;08.02.2022;08.02.2022;Работа комиссии;;08.02.2022;15.02.2022;
223-ФЗ;№32211113441;Прочие;2000-J05-К-Y05-00692-2022 «Поставка лицензий Macroscop»;;;1;2000-J05-К-Y05-00692-2022 «Поставка лицензий Macroscop»;913960.00;RUB;;;;;"62: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"62: Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - СЕВЕР""";;08.02.2022;08.02.2022;Работа комиссии;;08.02.2022;25.02.2022;
44-ФЗ;№0151300013422000005;Электронный аукцион;Оказание услуг по подключению и организации доступа к Системам КонсультантПлюс;;'223541900003054190100100030026203242';;;107478.28;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;АДМИНИСТРАЦИЯ ВЕНГЕРОВСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;АДМИНИСТРАЦИЯ ВЕНГЕРОВСКОГО РАЙОНА НОВОСИБИРСКОЙ ОБЛАСТИ;07.02.2022;07.02.2022;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;07.02.2022;15.02.2022;
223-ФЗ;№32211100673;Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства;2600-M05-К-Y12-00739-2022 «РЭН-001-21-09-22 «Техническое обслуживание оргтехники в АУП, ТНУ, ЧерНУ, АНУ, СУПЛАВ»»;;;1;2600-M05-К-Y12-00739-2022 «РЭН-001-21-09-22 «Техническое обслуживание оргтехники в АУП, ТНУ, ЧерНУ, АНУ, СУПЛАВ»»;5977006.94;RUB;;;;;62.02.30: Услуги по технической поддержке информационных технологий;62.02.30: Услуги по технической поддержке информационных технологий;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ - УРАЛ""";;04.02.2022;04.02.2022;Работа комиссии;;04.02.2022;02.03.2022;
223-ФЗ;№32211093029;Закупка у единственного поставщика (подрядчика, исполнителя);Услуги по реализации проекта «Внедрение платежных сервисов на паромной переправе по маршруту Якутск – Нижний Бестях» (ГПХ);;;1;Договор возмездного оказания услуг (ГПХ);597000.00;RUB;;;;;62.09.20: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;62.09.20: Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО "" ЯКУТСКАЯ ПРОЦЕССИНГОВАЯ КОМПАНИЯ ""ПЛАТЕЖИ""";;02.02.2022;02.02.2022;Работа комиссии;;02.02.2022;;
223-ФЗ;№32211086838;Прочие;Право заключения договора на Техническое сопровождение информационных систем радиационного контроля (АС ИДК, ИИС ПЭК) Балаковской АЭС;;;1;Право заключения договора на Техническое сопровождение информационных систем радиационного контроля (АС ИДК, ИИС ПЭК) Балаковской АЭС;2400000.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ""";;31.01.2022;31.01.2022;Работа комиссии;;31.01.2022;10.02.2022;
223-ФЗ;№32211072524;Прочие;"Право заключения договора на оказание услуг по технической поддержке системы контроля и управления электрической частью (СКУ ЭЧ) энергоблока №1 Калининской АЭС АО ""Концерн Росэнергоатом""";;;1;"Право заключения договора на оказание услуг по технической поддержке системы контроля и управления электрической частью (СКУ ЭЧ) энергоблока №1 Калининской АЭС АО ""Концерн Росэнергоатом""";1253877.49;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЙ КОНЦЕРН ПО ПРОИЗВОДСТВУ ЭЛЕКТРИЧЕСКОЙ И ТЕПЛОВОЙ ЭНЕРГИИ НА АТОМНЫХ СТАНЦИЯХ""";;27.01.2022;27.01.2022;Работа комиссии;;27.01.2022;08.02.2022;
223-ФЗ;№32211070306;Закупка у единственного поставщика (подрядчика, исполнителя);Услуги по сопровождению программ для ЭВМ «1С:Предприятие 8»;;;1;Услуги по сопровождению программ для ЭВМ «1С:Предприятие 8»;564000.00;RUB;;;;;62.02.30: Услуги по технической поддержке информационных технологий;62.02.30: Услуги по технической поддержке информационных технологий;"ФЕДЕРАЛЬНОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ЦЕНТР РАЗВИТИЯ И ОБЕСПЕЧЕНИЯ КОСМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ"" МИНИСТЕРСТВА ОБОРОНЫ РОССИЙСКОЙ ФЕДЕРАЦИИ";;26.01.2022;26.01.2022;Работа комиссии;;26.01.2022;;
