Закупки по,Реестровый номер закупки,"Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки)",Наименование закупки,Предмет электронного аукциона (только для ПП РФ 615),Идентификационный код закупки,Номер лота,Наименование лота,Начальная (максимальная) цена контракта,Валюта,Начальная (максимальная) цена в валюте контракта,Валюта контракта,Классификация по ОКДП,Классификация по ОКПД,Классификация по ОКПД2,Код позиции,Наименование Заказчика,"Организация, осуществляющая размещение ",Дата размещения,Дата обновления,Этап закупки,Особенности размещения заказа\ Преимущества (44-ФЗ),Дата начала подачи заявок,Дата окончания подачи заявок,Дата проведения электронного аукциона
223-ФЗ,№32413225377,Прочие,Оказание услуг по сопровождению и техническому обслуживанию программных продуктов,,,1.0,Оказание услуг по сопровождению и техническому обслуживанию  программных продуктов ,2736000.0,RUB,,,,,62.03.12.130: Услуги по сопровождению компьютерных систем,62.03.12.130: Услуги по сопровождению компьютерных систем,МУНИЦИПАЛЬНОЕ ВОДОКАНАЛИЗАЦИОННОЕ ПРЕДПРИЯТИЕ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД ХАНТЫ-МАНСИЙСК,,29.01.2024,29.01.2024,Работа комиссии,,29.01.2024,29.01.2024,
223-ФЗ,№32413225549,"Запрос котировок в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства","Оказание услуг по внедрению и сопровождению системы управления для нужд Автономного учреждения ""Медиа-центр Орехово-Зуевского городского округа Московской области"" на 2024 г.",,,1.0,"Оказание услуг по внедрению и сопровождению системы управления для нужд Автономного учреждения ""Медиа-центр Орехово-Зуевского городского округа Московской области"" на 2024 г.",220000.0,RUB,,,,,63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет,63.12.10.000: Содержание порталов в информационно-коммуникационной сети Интернет,"АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""МЕДИА-ЦЕНТР ОРЕХОВО-ЗУЕВСКОГО ГОРОДСКОГО ОКРУГА МОСКОВСКОЙ ОБЛАСТИ""",,29.01.2024,29.01.2024,Подача заявок,,29.01.2024,06.02.2024,
223-ФЗ,№32413201591,"Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства",Конкурс в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на выполнение работ по внедрению информационной системы для подготовки тарифных заявок (сводного шаблона) в сферах холодного водоснабжения и водоотведения в 2024-2025 годах,,,1.0,Выполнение работ по внедрению информационной системы для подготовки тарифных заявок (сводного шаблона) в сферах холодного водоснабжения и водоотведения в 2024-2025 годах,25784024.4,RUB,,,,,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""МОСВОДОКАНАЛ""",,22.01.2024,29.01.2024,Подача заявок,,22.01.2024,05.02.2024,
44-ФЗ,№0360200020124000008,Электронный аукцион,Оказание услуги по технической поддержке электронного периодического справочника «Система Гарант»,,'242644901690664490100100170016202244',,,65520.0,RUB,,,,,62.02.30.000: Услуги по технической поддержке информационных технологий,62.02.30.000: Услуги по технической поддержке информационных технологий,"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ  САРАТОВСКОЙ ОБЛАСТИ ""СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ ""НАДЕЖДА""","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ  САРАТОВСКОЙ ОБЛАСТИ ""СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ ""НАДЕЖДА""",29.01.2024,29.01.2024,Подача заявок,Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ,29.01.2024,07.02.2024,
223-ФЗ,№32413223165,Прочие,Услуги программного обеспечения Справочной Правовой Системы КонсультантПлюс.,,,1.0,Услуги программного обеспечения Справочной Правовой Системы КонсультантПлюс.,107369.16,RUB,,,,,63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий,63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий,"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ""ВОЕННО-ИСТОРИЧЕСКИЙ ЦЕНТР ""ДОМ ОФИЦЕРОВ ЗАБАЙКАЛЬСКОГО КРАЯ""",,29.01.2024,29.01.2024,Работа комиссии,,29.01.2024,,
44-ФЗ,№0373100099924000003,Открытый конкурс в электронной форме,"Оказание услуг по информационному обслуживанию (оптимизация, модернизация, развитие и поддержание в работоспособном состоянии) информационных систем РХТУ им. Д.И. Менделеева",,'241770707263777070100100060016201244',,,9500000.0,RUB,,,,,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ ХИМИКО-ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Д.И. МЕНДЕЛЕЕВА""","ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ ХИМИКО-ТЕХНОЛОГИЧЕСКИЙ УНИВЕРСИТЕТ ИМЕНИ Д.И. МЕНДЕЛЕЕВА""",24.01.2024,29.01.2024,Подача заявок,Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ,,09.02.2024,
44-ФЗ,№0134300097524000003,Электронный аукцион,Услуги по подготовке и размещению информационных материалов о деятельности администрации города Иркутска в периодическом печатном издании для пенсионеров,,'243380813127138080100100050010000244',,,500400.0,RUB,,,,,"63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям","63.91.11.000: Услуги информационных агентств, предоставляемые газетам и периодическим изданиям",АДМИНИСТРАЦИЯ ГОРОДА ИРКУТСКА,КОМИТЕТ ПО ЭКОНОМИКЕ И СТРАТЕГИЧЕСКОМУ ПЛАНИРОВАНИЮ АДМИНИСТРАЦИИ ГОРОДА ИРКУТСКА,29.01.2024,29.01.2024,Подача заявок,Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ,29.01.2024,06.02.2024,
44-ФЗ,№0318300009224000013,Электронный аукцион,"Допоставка экземпляров в комплект Систем КонсультантПлюс, а также услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) дополнительных экземпляров и услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс)",,'243233400658023340100100120016399244',,,235720.98,RUB,,,,,"63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки","63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАНЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ","ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""КАНЕВСКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА"" МИНИСТЕРСТВА ЗДРАВООХРАНЕНИЯ КРАСНОДАРСКОГО КРАЯ",19.01.2024,29.01.2024,Работа комиссии,,19.01.2024,29.01.2024,
223-ФЗ,№32413224183,"Конкурс в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства","210953_Лицензирование прикладного программного обеспечения для АО ""ТГК-11""",,,1.0,"Лицензирование прикладного программного обеспечения для АО ""ТГК-11""",798480.0,RUB,,,,,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТЕРРИТОРИАЛЬНАЯ ГЕНЕРИРУЮЩАЯ  КОМПАНИЯ №11""",,29.01.2024,29.01.2024,Подача заявок,,29.01.2024,07.02.2024,
223-ФЗ,№32413225386,"Запрос предложений в электронной форме, участниками которого могут являться только субъекты малого и среднего предпринимательства",Выполнение работ по сопровождению и модернизации программных продуктов 1С: Управление холдингом 8 и 1С: Зарплата и управление персоналом 8,,,1.0,Выполнение работ по сопровождению и модернизации программных продуктов 1С: Управление холдингом 8 и 1С: Зарплата и управление персоналом 8,5061568.83,RUB,,,,,62.02.30.000: Услуги по технической поддержке информационных технологий,62.02.30.000: Услуги по технической поддержке информационных технологий,"ПУБЛИЧНО-ПРАВОВАЯ КОМПАНИЯ ПО ФОРМИРОВАНИЮ КОМПЛЕКСНОЙ СИСТЕМЫ ОБРАЩЕНИЯ С ТВЕРДЫМИ КОММУНАЛЬНЫМИ ОТХОДАМИ ""РОССИЙСКИЙ ЭКОЛОГИЧЕСКИЙ ОПЕРАТОР""",,29.01.2024,29.01.2024,Подача заявок,,29.01.2024,06.02.2024,
