Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0371100010923000029;Электронный аукцион;"Оказание услуг по сопровождению программного продукта АС ""Единая поликлиника""";;'231526010135276104300100150016203244';;;153216.00;RUB;;;;;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;"РЫБИНСКАЯ БОЛЬНИЦА ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ ""ПРИВОЛЖСКИЙ ОКРУЖНОЙ МЕДИЦИНСКИЙ ЦЕНТР"" ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА";"РЫБИНСКАЯ БОЛЬНИЦА ФИЛИАЛ ФЕДЕРАЛЬНОГО БЮДЖЕТНОГО УЧРЕЖДЕНИЯ ЗДРАВООХРАНЕНИЯ ""ПРИВОЛЖСКИЙ ОКРУЖНОЙ МЕДИЦИНСКИЙ ЦЕНТР"" ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА";29.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;29.12.2023;10.01.2024;
223-ФЗ;№32413163331;Прочие;Сопровождение програмного комплекса 1С;;;1;Сопровождение программного комплекса 1С;114708.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ МУРМАНСКОЙ ОБЛАСТИ ""КАНДАЛАКШСКАЯ СПОРТИВНАЯ ШКОЛА ПО САННОМУ СПОРТУ""";;10.01.2024;10.01.2024;Закупка завершена;;10.01.2024;;
44-ФЗ;№0301200052323000154;Электронный аукцион;Оказание услуг обеспечивающих эффективную эксплуатацию персоналом Заказчика Государственной информационной системы в сфере здравоохранения Республики Башкортостан, используемой в ГБУЗ РКВД;;'232027501868302750100106990016202244';;;1743868.30;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКАНСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКАНСКИЙ КОЖНО-ВЕНЕРОЛОГИЧЕСКИЙ ДИСПАНСЕР;21.12.2023;10.01.2024;Определение поставщика завершено;;;10.01.2024;
223-ФЗ;№32413163288;Прочие;Оказание услуг по продвижению сайта;;;1;Оказание услуг по продвижению сайта;499500.00;RUB;;;;;63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет;63.11.12.000: Услуги по размещению в информационно-коммуникационной сети Интернет;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""РОССИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ ИМ. А.Н. КОСЫГИНА (ТЕХНОЛОГИИ. ДИЗАЙН. ИСКУССТВО)""";;10.01.2024;10.01.2024;Закупка завершена;;10.01.2024;;
44-ФЗ;№0350300011823000288;Запрос котировок в электронной форме;Оказание услуг по техническому обслуживанию опытного участка аппаратно-программного комплекса «Безопасный город»;;'233532105210553210100100270016202244';;;5580000.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ПО ДЕЛАМ ГРАЖДАНСКОЙ ОБОРОНЫ И ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ВЕЛИКОГО НОВГОРОДА""";КОМИТЕТ ПО УПРАВЛЕНИЮ МУНИЦИПАЛЬНЫМ ИМУЩЕСТВОМ И ЗЕМЕЛЬНЫМИ РЕСУРСАМИ ВЕЛИКОГО НОВГОРОДА;26.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;26.12.2023;10.01.2024;
44-ФЗ;№0345100007223000194;Электронный аукцион;Оказание услуг по обслуживанию информационной медицинской системы в 2024 году ;;'231471400407947260100101330016203244';;;1652360.04;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТРАЛЬНАЯ МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 38 ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""";"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ЦЕНТРАЛЬНАЯ МЕДИКО-САНИТАРНАЯ ЧАСТЬ № 38 ФЕДЕРАЛЬНОГО МЕДИКО-БИОЛОГИЧЕСКОГО АГЕНТСТВА""";25.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;25.12.2023;10.01.2024;
44-ФЗ;№0372200046823000036;Электронный аукцион;Оказание услуг по адаптации (предоставлению доступа) и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения;;'232781901975178190100100440016209244';;;89527.46;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 7 КОМПЕНСИРУЮЩЕГО ВИДА ПЕТРОДВОРЦОВОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДЕТСКИЙ САД № 7 КОМПЕНСИРУЮЩЕГО ВИДА ПЕТРОДВОРЦОВОГО РАЙОНА САНКТ-ПЕТЕРБУРГА;21.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;21.12.2023;09.01.2024;
44-ФЗ;№0352300017023000082;Электронный аукцион;Оказание услуг по технической поддержке средств криптографической защиты информации ViPNet, применяемых для защиты электронного документооборота (Реестровый номер 2023.092767);;'232550303414055030100100730016202244';;;215500.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ОМСКОЙ ОБЛАСТИ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 1""";"БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ОМСКОЙ ОБЛАСТИ ""ГОРОДСКАЯ ПОЛИКЛИНИКА № 1""";29.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;29.12.2023;10.01.2024;
44-ФЗ;№1011500002123000166;Электронный аукцион;Допоставка экземпляров в комплект Систем КонсультантПлюс, а также услуги по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемые на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость (взаимодействие) дополнительных экземпляров и услуг с ранее установленными у заказчика экземплярами Систем КонсультантПлюс.;;'232166107075316610100101840016203244';;;238704.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 12"" Г.КАЗАНИ";"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""ГОРОДСКАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА № 12"" Г.КАЗАНИ";22.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;22.12.2023;09.01.2024;
44-ФЗ;№0318300552923000958;Запрос котировок в электронной форме;"Оказание услуг по сопровождению установленного электронного периодического справочника ""Система ГАРАНТ""";;'233230202067023020100102710026203244';;;110208.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД АРМАВИР;УПРАВЛЕНИЕ ПО ЗАКУПКАМ ДЛЯ МУНИЦИПАЛЬНЫХ НУЖД АДМИНИСТРАЦИИ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ГОРОД АРМАВИР;25.12.2023;10.01.2024;Определение поставщика завершено;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;25.12.2023;09.01.2024;
