Закупки по;Реестровый номер закупки;Способ определения поставщика (подрядчика, исполнителя), подрядной организации (размещения закупки);Наименование закупки;Предмет электронного аукциона (только для ПП РФ 615);Идентификационный код закупки;Номер лота;Наименование лота;Начальная (максимальная) цена контракта;Валюта;Начальная (максимальная) цена в валюте контракта;Валюта контракта;Классификация по ОКДП;Классификация по ОКПД;Классификация по ОКПД2;Код позиции;Наименование Заказчика;Организация, осуществляющая размещение ;Дата размещения;Дата обновления;Этап закупки;Особенности размещения заказа\ Преимущества (44-ФЗ);Дата начала подачи заявок;Дата окончания подачи заявок;Дата проведения электронного аукциона
44-ФЗ;№0318200032824000002;Запрос котировок в электронной форме;На оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «ПАРУС-Бюджет 8» 1 пол. 2024г.;;'242230602136123610100100380010000244';;;48270.00;RUB;;;;;62.02.3: Услуги по технической поддержке информационных технологий;62.02.30.000-00000001: Услуги по технической поддержке информационных технологий;"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ КРАСНОДАРСКОГО КРАЯ ""ЕЙСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ""";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ КРАСНОДАРСКОГО КРАЯ ""ЕЙСКИЙ СОЦИАЛЬНО-РЕАБИЛИТАЦИОННЫЙ ЦЕНТР ДЛЯ НЕСОВЕРШЕННОЛЕТНИХ""";23.01.2024;23.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;23.01.2024;30.01.2024;
44-ФЗ;№0187300017324000001;Электронный аукцион;Оказание услуг по адаптации и сопровождению экземпляров Систем «КонсультантПлюс»;;'243861300588486130100100120106202244';;;226128.50;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ СВЕТЛЫЙ;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ СВЕТЛЫЙ;23.01.2024;23.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;23.01.2024;31.01.2024;
44-ФЗ;№0324300051924000002;Запрос котировок в электронной форме;оказание услуг по консультационному сопровождению программных продуктов «1С: Предприятие» ;;'242290102723429010100100230016209244';;;341900.00;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""АРХАНГЕЛЬСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ ПОЛИКЛИНИКА № 1""";"ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ АРХАНГЕЛЬСКОЙ ОБЛАСТИ ""АРХАНГЕЛЬСКАЯ ГОРОДСКАЯ КЛИНИЧЕСКАЯ ПОЛИКЛИНИКА № 1""";23.01.2024;23.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;23.01.2024;30.01.2024;
223-ФЗ;№32413202591;Прочие;Услуги по удаленному решению инцидентов по ИТ сервисам, оказанию консультативной помощи, необходимой для решения инцидентов.;;;1;Услуги по удаленному решению инцидентов по ИТ сервисам, оказанию консультационной помощи, необходимой для решения инцидентов.;414000.00;RUB;;;;;62.03.1: Услуги по управлению компьютерным оборудованием;62.03.1: Услуги по управлению компьютерным оборудованием;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "" ВЛАДИВОСТОКСКИЙ МОРСКОЙ РЫБНЫЙ ПОРТ""";;23.01.2024;23.01.2024;Работа комиссии;;23.01.2024;;
223-ФЗ;№32413202577;Прочие;Услуги по развертке тестовой и рабочей версии wms и 1С, доработки систем по полученным результатам, обучению персонала, сдача макетов систем холодильника ОАО Владморрыбпорт;;;1;"Услуга по развертке тестовой и рабочей версии wms  и 1С, доработки систем по полученным результатам, обучению персонала, сдача макетов систем холодильника ОАО ""Владморрыбпорт""";344829.00;RUB;;;;;62.03.1: Услуги по управлению компьютерным оборудованием;62.03.1: Услуги по управлению компьютерным оборудованием;"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО "" ВЛАДИВОСТОКСКИЙ МОРСКОЙ РЫБНЫЙ ПОРТ""";;23.01.2024;23.01.2024;Работа комиссии;;23.01.2024;;
44-ФЗ;№0301300021824000013;Электронный аукцион;Оказание услуг обеспечивающие эффективную эксплуатацию персоналом Заказчика Государственной информационной системы в сфере здравоохранения Республики Башкортостан;;'242026701148302670100100160016209244';;;2467202.10;RUB;;;;;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ БАШКОРТОСТАН ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА ГОРОДА СИБАЙ;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ БАШКОРТОСТАН ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА ГОРОДА СИБАЙ;23.01.2024;23.01.2024;Подача заявок;;23.01.2024;31.01.2024;
44-ФЗ;№0806300011824000001;Запрос котировок в электронной форме;"Оказание услуг по адаптации и сопровождению экземпляров справочно-правовых систем ""КонсультантПлюс""";;'243100123513410010100100060016203244';;;307524.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ПЕТРОЗАВОДСКОГО ГОРОДСКОГО ОКРУГА ""ПЕТРОСНАБ""";"МУНИЦИПАЛЬНОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ПЕТРОЗАВОДСКОГО ГОРОДСКОГО ОКРУГА ""ПЕТРОСНАБ""";23.01.2024;23.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;23.01.2024;30.01.2024;
223-ФЗ;№32413205202;Прочие;"Приобретение сертификата на осуществление мониторинга со стороны государственной системы обнаружения, предупреждения и ликвидации последствий компьютерных атак на критическую информационную инфраструктуру (КИИ) АО ""НЭСК"" ";;;1;"Приобретение сертификата на осуществление мониторинга со стороны государственной системы обнаружения, предупреждения и ликвидации последствий компьютерных атак на критическую информационную инфраструктуру (КИИ) АО ""НЭСК"" ";12954265.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕЗАВИСИМАЯ ЭНЕРГОСБЫТОВАЯ КОМПАНИЯ КРАСНОДАРСКОГО КРАЯ""";;23.01.2024;23.01.2024;Подача заявок;;23.01.2024;02.02.2024;
44-ФЗ;№0173300007124000003;Открытый конкурс в электронной форме;Оказание услуг по обслуживанию и сопровождению Программного продукта «1С: Бухгалтерия государственного учреждения 8»;;'243772303163877230100100040016202244';;;500000.00;RUB;;;;;62.02.30.000: Услуги по технической поддержке информационных технологий;62.02.30.000: Услуги по технической поддержке информационных технологий;АППАРАТ СОВЕТА ДЕПУТАТОВ МУНИЦИПАЛЬНОГО ОКРУГА ЛЮБЛИНО;АППАРАТ СОВЕТА ДЕПУТАТОВ МУНИЦИПАЛЬНОГО ОКРУГА ЛЮБЛИНО;23.01.2024;23.01.2024;Подача заявок;;;08.02.2024;
44-ФЗ;№0177200000924000048;Запрос котировок в электронной форме;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у заказчика экземплярами Систем КонсультантПлюс;;'242041105876904110100100070016203242';;;117400.00;RUB;;;;;62.03.12.130: Услуги по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;"КАЗЕННОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ РЕСПУБЛИКИ АЛТАЙ ""ПСИХИАТРИЧЕСКАЯ БОЛЬНИЦА""";МИНИСТЕРСТВО ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РЕСПУБЛИКИ АЛТАЙ;23.01.2024;23.01.2024;Подача заявок;Преимущество в соответствии с ч. 3 ст. 30 Закона № 44-ФЗ;23.01.2024;02.02.2024;
