iter	Logloss
0	0.6679551462
1	0.6436335231
2	0.6216986111
3	0.5998116144
4	0.581324804
5	0.5612047433
6	0.5408205044
7	0.5271680959
8	0.5111749561
9	0.4913266823
10	0.4772732206
11	0.4661239023
12	0.4540611861
13	0.4423152738
14	0.4312137489
15	0.4185184795
16	0.4101913993
17	0.396541386
18	0.3884286025
19	0.3779723811
20	0.3689649671
21	0.3585455246
22	0.3505111653
23	0.3417090633
24	0.334588368
25	0.328134616
26	0.3205175666
27	0.3150733064
28	0.3087414369
29	0.3015372851
30	0.2955519514
31	0.2903121852
32	0.2836264058
33	0.279352545
34	0.2734562457
35	0.268491828
36	0.2616285819
37	0.2566144297
38	0.2515377784
39	0.2467176651
40	0.2425898723
41	0.2392371941
42	0.2348881692
43	0.2312574602
44	0.2274029888
45	0.224429247
46	0.2208052014
47	0.218107865
48	0.2146241427
49	0.2101186162
50	0.2068849015
51	0.203909838
52	0.2009914112
53	0.1974303708
54	0.1951138391
55	0.1925695544
56	0.1905227286
57	0.1884156919
58	0.1854040877
59	0.1838745314
60	0.1807416379
61	0.1786930494
62	0.1766822989
63	0.1736326087
64	0.1713097062
65	0.1681913597
66	0.1662744911
67	0.1651343779
68	0.1622723207
69	0.1605148145
70	0.1583435677
71	0.1562333212
72	0.1546066068
73	0.1523896202
74	0.1504994196
75	0.1485000622
76	0.14650368
77	0.1449469701
78	0.1431784979
79	0.1412302774
80	0.1398436431
81	0.1384979246
82	0.1369465808
83	0.1351825889
84	0.1334910047
85	0.132156548
86	0.1310867309
87	0.1299503629
88	0.1288245772
89	0.1271613792
90	0.1258672157
91	0.1246264815
92	0.1233335263
93	0.1218290379
94	0.1205812163
95	0.11933879
96	0.1183729628
97	0.1171322742
