iter	Passed	Remaining
0	246	246590
1	374	186767
2	492	163631
3	613	152788
4	789	157106
5	920	152574
6	1046	148495
7	1155	143310
8	1253	138047
9	1349	133638
10	1451	130512
11	1546	127352
12	1659	125995
13	1788	125959
14	1919	126018
15	2075	127649
16	2202	127347
17	2354	128424
18	2527	130511
19	2627	128764
20	2726	127100
21	2832	125915
22	2938	124825
23	3044	123792
24	3152	122930
25	3253	121875
26	3359	121082
27	3460	120121
28	3566	119406
29	3667	118587
30	3767	117754
31	3871	117112
32	3971	116370
33	4073	115736
34	4179	115230
35	4277	114530
36	4374	113861
37	4479	113408
38	4583	112947
39	4687	112509
40	4793	112128
41	4903	111846
42	5010	111522
43	5114	111116
44	5216	110711
45	5350	110955
46	5457	110665
47	5563	110339
48	5667	110003
49	5767	109580
50	5874	109305
51	5979	109011
52	6085	108732
53	6189	108422
54	6295	108169
55	6402	107925
56	6502	107571
57	6604	107265
58	6705	106944
59	6812	106734
