sentiment,Классификация по ОКПД2_x,Наименование закупки_x,Реестровый номер закупки,Закупки по,Дата размещения
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие,  Предоставление неисключительного права использования антивирусного программного обеспечения Kaspersky Endpoint Security для бизнеса - Стандартный Russian Edition,№0169300040423000063,44-ФЗ,04.09.2023
Подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки"," оказание услуг по обслуживанию и сопровождению сервисов регионального сегмента единой государственной информационной системы в сфере здравоохранения Кабардино-Балкарской Республики (РМИС КБР) для нужд ГБУЗ""ЦРБ""Эльбрусского района в 2023 году",№0304300010623000024,44-ФЗ,21.09.2023
Не подходит,62.02.20.190: Услуги консультативные в области компьютерных технологий прочие, Предоставление услуг по сопровождению программного комплекса на платформе «1С»,№0162300011123000065,44-ФЗ,07.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0122100010223000021,44-ФЗ,18.09.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0302300050523000034,44-ФЗ,21.08.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0316400001123000094,44-ФЗ,17.08.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0853300008723000019,44-ФЗ,07.08.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0853300008723000015,44-ФЗ,04.08.2023
Не подходит,62.01.29.000: Оригиналы программного обеспечения прочие, Программное средство антивирусной защиты,№0853300008723000014,44-ФЗ,04.08.2023
Не подходит,"62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки", Услуги по предоставлению в аренду серверных мощностей  для размещения на них программных продуктов семейства 1С Бухгалтерия и информационно -технологическому сопровождению 1С.,№0803300221323000001,44-ФЗ,09.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"	Модернизация процессов управления автоматизированной системой диспетчерской службы скорой медицинской помощи, необходимые для создания структурированного электронного документа",№32312790631,223-ФЗ,24.09.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"""ежемесячные услуги по обслуживанию, поддержке и информационно-консультативному сопровождению программных продуктов «1С: Предприятие 8» в составе: «1С: Бухгалтерия государственного учреждения», «1С: Зарплата и кадры бюджетного учреждения» 												",№32312714340,223-ФЗ,29.08.2023
Не подходит,62.02.30.000: Услуги по технической поддержке информационных технологий,"""Оказание услуг по предоставлению сертификата на техническое сопровождение программных комплексов ViPNet Client""",№0318200057723000065,44-ФЗ,23.08.2023
Не подходит,62.02.3: Услуги по технической поддержке информационных технологий,"""Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта «Парус-Бюджет 8»",№0318200057723000078,44-ФЗ,20.09.2023
