iter	Passed	Remaining
0	25	46811
1	50	46927
2	94	58198
3	118	54772
4	142	52600
5	168	51685
6	192	50576
7	216	49892
8	240	49158
9	264	48707
10	291	48787
11	316	48489
12	340	48137
13	364	47804
14	388	47574
15	412	47295
16	440	47497
17	467	47541
18	492	47429
19	519	47510
20	546	47623
21	573	47671
22	600	47737
23	625	47613
24	651	47594
25	676	47475
26	701	47374
27	726	47263
28	753	47326
29	778	47237
30	803	47169
31	831	47256
32	858	47290
33	890	47589
34	920	47719
35	949	47869
36	980	48062
37	1038	49506
38	1063	49369
39	1090	49329
40	1116	49246
41	1141	49158
42	1170	49176
43	1198	49179
44	1225	49146
45	1252	49135
46	1279	49065
47	1307	49085
48	1334	49045
49	1361	49005
50	1390	49063
51	1416	48989
52	1441	48877
53	1467	48818
54	1492	48717
55	1519	48676
56	1544	48583
57	1572	48590
58	1622	49253
59	1651	49257
60	1677	49210
61	1703	49122
62	1729	49060
63	1755	48992
64	1781	48916
65	1809	48916
66	1840	48984
67	1869	48984
68	1898	49001
69	1926	48991
70	1952	48923
71	1978	48846
72	2002	48757
73	2027	48663
74	2056	48676
75	2082	48618
76	2107	48523
77	2132	48450
78	2158	48385
79	2182	48296
80	2207	48200
81	2232	48131
82	2260	48134
83	2289	48127
84	2314	48069
85	2343	48060
86	2369	48011
87	2397	48013
88	2423	47943
89	2451	47936
90	2480	47942
91	2505	47874
92	2531	47821
93	2556	47750
94	2581	47691
95	2606	47627
96	2631	47548
97	2655	47481
98	2701	47773
99	2730	47781
100	2755	47711
101	2781	47661
102	2806	47600
103	2832	47546
104	2857	47496
105	2885	47475
106	2911	47434
107	2938	47400
108	2967	47392
109	2993	47354
110	3022	47345
111	3052	47361
112	3085	47434
113	3122	47543
114	3166	47767
115	3199	47826
116	3231	47857
117	3264	47922
118	3301	48028
119	3335	48093
120	3373	48207
121	3413	48349
122	3466	48676
123	3494	48639
124	3522	48604
125	3551	48589
126	3578	48546
127	3605	48503
128	3631	48442
129	3657	48385
130	3682	48322
131	3709	48275
132	3736	48236
133	3826	49005
134	3874	49217
135	3909	49267
136	3940	49270
137	3987	49470
138	4022	49510
139	4049	49458
140	4075	49396
141	4100	49325
142	4126	49261
143	4153	49202
144	4180	49162
145	4207	49101
146	4231	49024
147	4257	48961
148	4282	48885
149	4307	48820
150	4333	48754
151	4361	48723
152	4394	48743
153	4422	48702
154	4450	48669
155	4481	48669
156	4508	48612
157	4533	48551
158	4561	48512
159	4591	48495
160	4638	48656
161	4664	48599
162	4689	48538
163	4716	48488
164	4743	48439
165	4770	48399
166	4797	48349
167	4826	48318
168	4852	48265
169	4877	48202
170	4903	48146
171	4928	48084
172	4954	48025
173	4979	47960
174	5004	47900
175	5030	47849
176	5056	47791
177	5081	47729
178	5105	47663
179	5131	47605
180	5156	47551
181	5183	47503
182	5207	47438
183	5233	47388
184	5261	47356
185	5286	47295
186	5311	47231
187	5337	47188
188	5362	47124
189	5387	47066
190	5411	47006
191	5437	46954
192	5464	46912
193	5515	47082
194	5542	47036
195	5567	46983
196	5595	46948
197	5620	46892
198	5645	46838
199	5671	46790
200	5699	46755
201	5725	46712
202	5754	46684
203	5782	46657
204	5810	46628
205	5837	46589
206	5866	46565
207	5905	46618
208	5933	46586
209	5958	46532
210	5987	46507
211	6012	46457
212	6037	46400
213	6063	46350
214	6089	46309
215	6116	46268
216	6168	46416
217	6204	46451
218	6232	46420
219	6261	46391
220	6289	46363
221	6317	46325
222	6346	46305
223	6377	46291
224	6403	46248
225	6431	46216
226	6456	46159
227	6480	46104
228	6505	46051
229	6530	45999
230	6556	45955
231	6581	45897
232	6605	45838
233	6630	45790
234	6655	45739
235	6679	45681
236	6703	45621
237	6728	45571
238	6754	45529
239	6799	45614
240	6827	45584
241	6853	45537
242	6877	45479
243	6901	45422
244	6926	45376
245	6951	45325
246	6976	45273
247	7001	45226
248	7089	45584
249	7121	45578
250	7150	45555
251	7177	45517
252	7204	45478
253	7233	45454
254	7258	45402
255	7284	45358
256	7308	45303
257	7332	45248
258	7357	45195
259	7381	45139
260	7406	45090
261	7432	45048
262	7457	44999
263	7480	44941
264	7505	44891
