iter	Logloss
0	0.6668406744
1	0.6452724694
2	0.6220334493
3	0.6015685487
4	0.5820690405
5	0.5692819525
6	0.5507967115
7	0.5311810258
8	0.5159517922
9	0.4991449915
10	0.4834623962
11	0.4723220093
12	0.4589893633
13	0.4468525546
14	0.43464569
15	0.4230478458
16	0.4123211257
17	0.4027268497
18	0.3934381031
19	0.3845909769
20	0.375874057
21	0.3679588298
22	0.3578042263
23	0.3497878763
24	0.3422136273
25	0.3359610278
26	0.3300226314
27	0.3248889357
28	0.3193636623
29	0.3135336655
30	0.3052080094
31	0.3005026637
32	0.2952209308
33	0.2880553417
34	0.2830523855
35	0.2792558025
36	0.2735972335
37	0.2685635424
38	0.2653713402
39	0.2615897245
40	0.2568512076
41	0.2517808371
42	0.2485753999
43	0.2447778411
44	0.2395215375
45	0.2359670551
46	0.2322425175
47	0.2290076769
48	0.2263196603
49	0.2222562147
50	0.2193897331
51	0.2147953206
52	0.2115601554
53	0.209120979
54	0.2060231337
55	0.2033952319
56	0.2003725641
57	0.1973742747
58	0.1951658746
59	0.1923195823
60	0.1895964869
61	0.1879789835
62	0.185850481
63	0.1831569895
64	0.1807768715
65	0.1786057483
66	0.1764400237
67	0.1740093757
68	0.1720581923
69	0.1701378885
70	0.1680260808
71	0.1654219759
72	0.1630611597
73	0.1609393821
74	0.1587956193
75	0.1567331431
76	0.1551175707
77	0.1530814321
78	0.1518085956
79	0.14991766
