iter	Passed	Remaining
0	388	776015
1	591	590828
2	776	517090
3	941	469795
4	1098	438253
5	1253	416631
6	1419	404018
7	1582	394044
8	1734	383608
9	1879	374013
10	2024	366030
11	2169	359472
12	2319	354586
13	2467	349976
14	2616	346223
15	2765	342861
16	2912	339683
17	3106	342048
18	3287	342784
19	3426	339260
20	3571	336585
21	3717	334235
22	3865	332264
23	4006	329842
24	4159	328591
25	4304	326774
26	4449	325153
27	4593	323486
28	4740	322224
29	4883	320683
30	5035	319859
31	5179	318538
32	5323	317314
33	5463	315919
34	5616	315343
35	5762	314352
36	5904	313246
37	6049	312356
38	6198	311668
39	6356	311462
40	6511	311143
41	6657	310386
42	6813	310085
43	6960	309419
44	7112	309019
45	7262	308487
46	7420	308338
47	7567	307727
48	7717	307265
49	7861	306592
50	8020	306527
51	8176	306312
52	8330	306043
53	8481	305651
54	8640	305553
55	8794	305304
56	8947	304992
57	9098	304649
58	9245	304169
59	9387	303514
60	9533	303032
61	9675	302437
62	9826	302138
63	9975	301747
64	10122	301333
65	10265	300824
66	10412	300396
67	10549	299743
68	10698	299406
69	10847	299086
70	10994	298696
71	11141	298343
72	11294	298134
73	11434	297614
74	11582	297284
75	11772	298040
76	11919	297670
77	12060	297182
78	12214	297005
79	12361	296677
