Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413222397;Оказание услуг по сопровождению информационных систем семейства «1С: Предприятие 8» ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;29.01.2024
№0360300052824000023;Оказание услуг по сопровождению компьютерных систем;62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0167300000524000002;ЗК-0002/24 Оказание услуг по комплексному сопровождению информационной системы «Реестр муниципального имущества города Тюмени»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;18.01.2024
№0111100004124000001;Оказание услуг по настройке и сопровождению программных продуктов 1С для нужд отдела ГФС России в г. Казани (закупка услуг в сфере ИКТ);62.03.12.130: Услуги по сопровождению компьютерных систем;29.01.2024
№0806500000224000046;оказание услуг по техническому обслуживанию узлов виртуальной сети VipNet Trust № 16311 в сфере ИКТ в соответствии с НПА;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;29.01.2024
№0318200004724000001;"Оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""";62.02.3: Услуги по технической поддержке информационных технологий;19.01.2024
№0139300007224000005;Услуги по предоставлению доступа, права использования и технической поддержке автоматизированной информационной системы долговременного ухода;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;19.01.2024
№0801200000124000001;Оказание услуги  в сфере ИКТ и ТИМ по технической поддержке Информационной системы управления проектами государственного заказчика в сфере строительства (ИСУП) для нужд ГКУ УКС РБ;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0859200001124000069;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, на основе специального лицензионного программного обеспечения, обеспечивающего совместимость услуг с установленными у Заказчика экземплярами систем КонсультантПлюс (в том числе специальной копией Системы КонсультантПлюс);62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;29.01.2024
№32413222279;Право заключения договора на поставку и установку сертифицированной аппаратуры спутниковой навигации  и на предоставление услуги по настройке аппаратуры спутниковой навигации, подключения к ГАИС «ЭРА_ГЛОНАСС», установленных на транспортные средства ООО «Кольская АЭС-Авто»;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;29.01.2024
№32413222270;Оказание услуг по информационно-технологическому сопровождению 1С: КП ГУ ПРОФ;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0325200021324000003;"Консультационно-методические услуги по сопровождению ПП 1С ""Бухгалтерия 8.3"" и ""Зарплата и кадры 8.3""";62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0116300009424000004;Оказание услуг по сопровождению Электронного периодического справочника «Система ГАРАНТ», путем предоставления текущих версий комплекта ЭПС «Система ГАРАНТ»;62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0318300065124000012;Оказание услуг по предоставлению программного обеспечения «Эконом Эксперт. Онлайн»  для нужд администрации Ахтырского городского поселения.;62.03.12.130: Услуги по сопровождению компьютерных систем;18.01.2024
№32413222225;Оказание услуг по техническому обслуживанию,поддержке сайта;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;29.01.2024
№0108500000424000176;Оказание услуг по техническому сопровождению программного обеспечения ViPNet сети № 2059;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0149200002324000115;Оказания услуг по сопровождению медицинской информационной системы «Ариадна» и лабораторной информационной системы «Nlab» «Ариадна» с передачей неисключительных прав на обновленные модули.;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№0119600004224000007;Адаптация и сопровождение экземпляров  Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;19.01.2024
№0387300023224000006;Оказание услуг по продлению программы для ЭВМ «1С-Битрикс: Управление сайтом» (лицензия Бизнес);63.11.13.000: Услуги по предоставлению программного обеспечения без его размещения на компьютерном оборудовании пользователя;29.01.2024
№0164200001924000005;Оказание услуг по подготовке и размещению информационных сообщений о деятельности Тамбовской областной Думы на сайте федерального информационного агентства;63.99.10.130: Услуги по сбору и обобщению фактов и информации, кроме списков адресатов;17.01.2024
№0164200001924000006;Оказание услуг по подготовке и размещению информационных сообщений о деятельности Тамбовской областной Думы на сайте федерального информационного агентства;63.99.10.130: Услуги по сбору и обобщению фактов и информации, кроме списков адресатов;17.01.2024
№0380300033924000001;Оказание услуг на абонентское обслуживание программного продукта 1С: КП ЦГУ. для нужд Управления образования администрации Аскизского района;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;18.01.2024
№0818200000724000001;"на оказание услуги по предоставлению сертификата на техническую поддержку программного продукта ""ПАРУС-Бюджет 8""";62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413194541;Запрос котировок в электронной форме (№ ЦА 04-24) по выбору организации на оказание услуг по техническому сопровождению автоматизированной информационной системы управления предприятием на базе программного обеспечения Dynamics AX 4.0 для нужд ФГУП «Росморпорт»;62.02.30.000: Услуги по технической поддержке информационных технологий;19.01.2024
№0318200029924000001;Оказание услуги по предоставлению сертификата на техническую поддержку  программного продукта «ПАРУС-Бюджет 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;22.01.2024
№32413222118;2024/9-68 Оказание услуг по технической поддержке платформы Адвантум. Большой брат;62.02.30.000: Услуги по технической поддержке информационных технологий;29.01.2024
№0372200005424000016;"Оказание услуг по сопровождению Электронного периодического справочника ""Система ГАРАНТ""";62.03.12.130: Услуги по сопровождению компьютерных систем;22.01.2024
№0169300004524000001;"Услуги по размещению текстовых информационных материалов о деятельности органов местного самоуправления посредством ""Бегущей строки"" на телевидении с зоной вещания Златоустовский городской округ";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;19.01.2024
№0538500000524000001;Техническое сопровождение системы обеспечения вызова экстренных оперативных служб по единому номеру «112» (Система-112) на территории Камчатского края в 2024 году;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;22.01.2024
№0352200016724000001;"Оказание услуг по обеспечению функционирования и развития государственной информационной системы Омской области ""Катарсис"" (Реестровый номер 2024.003715)";62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;19.01.2024
№32413221332;Оказание услуг по обработке информации из расчетной системы Заказчика в соответствии с Федеральным законом №54-ФЗ от 22 мая 2003 года;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;29.01.2024
№32413220956;Оказание услуг по технической поддержке и обновлению ПК «Здравоохранение»;"58.29.50.000: Услуги по предоставлению лицензий на право использовать компьютерное программное обеспечение; 62.02.30.000: Услуги по технической поддержке информационных технологий";29.01.2024
№0815500000524000127;Оказание услуг по подключению анализаторов к региональной централизованной системе «Лабораторные исследования» РМИС;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;17.01.2024
