Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413159822;Услуги по передаче, адаптации и сопровождению справочной правовой системы;62.02.10.000: Услуги консультативные по компьютерному оборудованию;09.01.2024
№32413159999;Миграция системы ОрВД.Закупки и модуля формирования запросов цен, системно интегрированного с ЕИС, модуля обработки коммерческих предложений, прототипа системы интеллектуального определения стоимости технологического оборудования на серверные мощности ФГУП «Госкорпорация по ОрВД», настройка системы ОрВД.Закупки и перенос базы данных;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;09.01.2024
№32413159951;Услуги по сопровождению, модернизации, доработке автоматизированной информационной системы финансово-хозяйственной, закупочной деятельности, расчета заработной платы, кадрового учёта на базе платформы «1С: Предприятие 8» ;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413159947;Оказание информационно-консультационных услуг, включая ежемесячное предоставление Заказчику дайджеста «Власть, бизнес и криминал».;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413158381;"Оказание услуг предоставления информации о состоянии законодательства Российской Федерации в виде электронного периодического справочника ""Система ГАРАНТ""";62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413159924;Оказание информационно-консультационных услуг Заказчику (подключение к Интернет-ресурсу https://odyssey-search.info/);63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413159612;"Оказание информационных услуг с использованием экземпляров справочно-правовых систем ""Консультант Плюс""";63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413157532;"Услуги по технической поддержке ""Автоматизированной информационной системы""ЕИСДУ""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;09.01.2024
№32413159085;Поставка и оказание услуг по адаптации и сопровождению справочно-правовой системы «Консультант Плюс»;62.03.12: Услуги по управлению компьютерными системами;09.01.2024
№32413159058;Оказание услуг по адаптации и сопровождению экземпляров системы КонсультантПлюс, установленных у Заказчика;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413156973;Сервисное обслуживание комплекса программно-технических средств;62.01.12.000: Услуги по проектированию и разработке информационных технологий для сетей и систем;09.01.2024
№32413159806;"Оказание услуг по информационно-технологическому сопровождению системы ""1С:Предприятие 8""";62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;09.01.2024
№32413159018;Оказание услуги по адаптации и сопровождению экземпляров Системы Консультант Плюс, принадлежащих Заказчику;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413157352;Оказание услуг по консультационно технологическому сопровождению комплекса программных средств;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413159785;Оказание услуг по информационному сопровождению;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413158112;"Оказание услуг по сопровождению экземпляров систем ""Консультант Плюс""";62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413159764;Оказание услуг по информационно-техническому сопровождению программ «1С: Бухгалтерия государственного учреждения», «1С: Зарплата и кадры государственного учреждения», и 1С: «Вещевое довольствие» с целью эксплуатации конфигураций в рабочем режиме.;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;09.01.2024
№32413159718;Услуги по оформлению доступа к обновлениям программных продуктов системы «1С: Предприятие 8»;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
